Locus,resTime,pol,
YCL032W,1.656,Pol II,
YBR285W,2.282,Pol II,
YDR313C,4.055,Pol II,
YOR206W,2.429,Pol II,
YDL189W,10.507,Pol II,
YLR247C,1.574,Pol II,
YMR261C,1.575,Pol II,
tK(CUU)C,8.466,Pol III,
YBR188C,5.804,Pol II,
YMR131C,3.68,Pol II,
YDR180W,3.777,Pol II,
YDR060W,5.418,Pol II,
YNL241C,2.073,Pol II,
YMR297W,2.24,Pol II,
snR43,6.048,Pol II,
YLR286C,7.846,Pol II,
tS(AGA)D1,11.047,Pol III,
YJL138C,3.772,Pol II,
YMR292W,3.034,Pol II,
YKL096W-A,1.559,Pol II,
YDR086C,2.052,Pol II,
YNL154C,3.081,Pol II,
YDR172W,2.618,Pol II,
YPR171W,3.752,Pol II,
YLR078C,3.182,Pol II,
YIR015W,3.734,Pol II,
YPL146C,6.674,Pol II,
YLR043C,6.41,Pol II,
YHR072W,16.094,Pol II,
YHR061C,4.075,Pol II,
YIR003W,6.83,Pol II,
YOL145C,7.337,Pol II,
YGR108W,5.17,Pol II,
tC(GCA)P1,6.131,Pol III,
tD(GUC)O,7.236,Pol III,
YLL006W-A,4.066,Pol II,
YPR125W,5.677,Pol II,
YPL009C,1.697,Pol II,
YOR276W,2.34,Pol II,
YEL031W,5.079,Pol II,
YGL198W,14.09,Pol II,
YMR237W,2.324,Pol II,
YER006W,3.429,Pol II,
YLR096W,3.41,Pol II,
YJR054W,1.907,Pol II,
YKL006W,17.481,Pol II,
YMR091C,2.329,Pol II,
tA(AGC)D,4.365,Pol III,
YJR049C,7.098,Pol II,
YMR092C,1.847,Pol II,
YPR174C,4.56,Pol II,
YDR056C,2.026,Pol II,
YOR360C,2.4,Pol II,
YHL026C,3.949,Pol II,
snR58,4.178,Pol II,
YOR216C,2.816,Pol II,
YLR165C,1.741,Pol II,
YDR264C,2.2,Pol II,
YLR387C,1.49,Pol II,
YHR115C,2.073,Pol II,
YLR380W,4.516,Pol II,
YHR065C,8.705,Pol II,
YBR262C,2.836,Pol II,
YDL173W,2.205,Pol II,
YOL070C,5.581,Pol II,
YBR092C,2.485,Pol II,
YDR510W,2.378,Pol II,
YHL014C,8.649,Pol II,
YGR009C,2.962,Pol II,
YDR016C,1.414,Pol II,
YEL071W,1.478,Pol II,
YOR143C,5.816,Pol II,
tK(UUU)G1,3.979,Pol III,
YGL043W,11.861,Pol II,
YLR386W,3.018,Pol II,
YGL020C,9.299,Pol II,
YMR048W,6.337,Pol II,
YNL091W,6.266,Pol II,
YKR057W,2.834,Pol II,
YPR062W,3.322,Pol II,
YBL037W,2.311,Pol II,
YBR035C,2.065,Pol II,
